Code,Area,Number of Individuals,Mean £,Median £
E09000001,City of London,11000,147000,60700
E09000002,Barking and Dagenham,98000,33300,28600
E09000003,Barnet,198000,59800,34400
E09000004,Bexley,134000,40900,31800
E09000005,Brent,170000,43600,29400
E09000006,Bromley,183000,56900,38100
E09000007,Camden,111000,112000,40600
E09000008,Croydon,203000,41900,31800
E09000009,Ealing,190000,48700,31500
E09000010,Enfield,149000,42800,31300
E09000011,Greenwich,152000,50700,33800
E09000012,Hackney,128000,54600,34300
E09000013,Hammersmith and Fulham,104000,86700,38300
E09000014,Haringey,134000,54900,31800
E09000015,Harrow,134000,47100,33200
E09000016,Havering,138000,41900,32000
E09000017,Hillingdon,162000,42200,31900
E09000018,Hounslow,149000,46000,30600
E09000019,Islington,116000,76000,40300
E09000020,Kensington and Chelsea,70000,209000,47700
E09000021,Kingston-upon-Thames,91000,57300,37300
E09000022,Lambeth,179000,57900,35800
E09000023,Lewisham,152000,48300,34500
E09000024,Merton,122000,65600,36400
E09000025,Newham,165000,37200,28900
E09000026,Redbridge,145000,44200,31200
E09000027,Richmond-upon-Thames,106000,92200,45300
E09000028,Southwark,166000,59400,36200
E09000029,Sutton,110000,44400,33400
E09000030,Tower Hamlets,158000,57100,37300
E09000031,Waltham Forest,140000,41400,32500
E09000032,Wandsworth,190000,81500,42200
E09000033,Westminster,106000,133000,42600
